"","upi_bank","cvol_mn","cval_cr","vol_mn","val_cr","month"
"141","Cointab",0.11,40.84,0.11,40.84,"Apr"
"142","Cointab",0.12,45.71,0.12,45.71,"Mar"
"143","Cointab",0.12,41.56,0.12,41.56,"Feb"
"144","Cointab",0.13,43.7,0.13,43.7,"Jan"
"145","Cred",10.36,13817.16,10.36,13817.16,"Dec"
"146","Cred",9.03,12277.85,9.03,12277.85,"Nov"
"147","Cred",9.73,12561.25,9.73,12561.25,"Oct"
"148","Cred",7.74,9614.36,7.74,9614.36,"Sep"
"149","Cred",7.5,9040.43,7.5,9040.43,"Aug"
"150","Cred",7.12,8121.41,7.12,8121.41,"Jul"
"151","Cred",5.77,6151.57,5.77,6151.57,"Jun"
"152","Cred",5.65,6142.78,5.65,6142.78,"May"
"153","Cred",5.08,5419.88,5.08,5419.88,"Apr"
"154","Cred",4.96,5389.97,4.96,5389.97,"Mar"
"155","Cred",3.94,4229.11,3.94,4229.11,"Feb"
"156","Cred",4.08,4247.83,4.08,4247.83,"Jan"
"157","DBS Digibank App",0.55,190.75,0.55,190.75,"Dec"
"158","DBS Digibank App",0.52,185.2,0.52,185.2,"Nov"
"159","DBS Digibank App",0.58,198.18,0.58,198.18,"Oct"
"160","DBS Digibank App",0.55,180.79,0.55,180.79,"Sep"
"161","DBS Digibank App",0.57,187.52,0.57,187.52,"Aug"
"162","DBS Digibank App",0.57,189.67,0.57,189.67,"Jul"
"163","DBS Digibank App",0.51,170.57,0.51,170.57,"Jun"
"164","DBS Digibank App",0.47,160.73,0.47,160.73,"May"
"165","DBS Digibank App",0.54,164.93,0.54,164.93,"Apr"
"166","DBS Digibank App",0.59,178.13,0.59,178.13,"Mar"
"167","DBS Digibank App",0.52,167.48,0.52,167.48,"Feb"
"168","DBS Digibank App",0.56,178.75,0.56,178.75,"Jan"
"169","Dena Bank App",0.02,26.08,0.02,26.08,"Dec"
"170","Dena Bank App",0.02,24.11,0.02,24.11,"Nov"
"171","Dena Bank App",0.02,27.43,0.02,27.43,"Oct"
"172","Dena Bank App",0.02,24.37,0.02,24.37,"Sep"
"173","Dena Bank App",0.02,23.12,0.02,23.12,"Aug"
"174","Dena Bank App",0.02,24.26,0.02,24.26,"Jul"
"175","Dena Bank App",0.02,21.57,0.02,21.57,"Jun"
"176","Dena Bank App",0.02,20.9,0.02,20.9,"May"
"177","Dena Bank App",0.02,22.37,0.02,22.37,"Apr"
"178","Dena Bank App",0.02,23.57,0.02,23.57,"Mar"
"179","Dena Bank App",0.01,17.66,0.01,17.66,"Feb"
"180","Dena Bank App",0.02,20.5,0.02,20.5,"Jan"
"181","Deutsche Bank App",0.85,85.62,0.85,86.2,"Dec"
"182","Deutsche Bank App",0.98,115.42,0.98,115.42,"Nov"
"183","Deutsche Bank App",0.85,98.84,0.85,99.23,"Oct"
"184","Deutsche Bank App",0.76,70.24,0.76,70.24,"Sep"
"185","Deutsche Bank App",0.73,81.7,0.73,81.74,"Aug"
"186","Deutsche Bank App",0.52,55.42,0.52,55.55,"Jul"
"187","Deutsche Bank App",0.32,27.44,0.32,27.44,"Jun"
"188","Deutsche Bank App",0.21,14.69,0.21,14.73,"May"
"189","Deutsche Bank App",0.43,43.32,0.43,43.58,"Apr"
"190","Deutsche Bank App",0.71,79.28,0.71,79.58,"Mar"
"191","Deutsche Bank App",0.55,59.97,0.55,59.97,"Feb"
"192","Deutsche Bank App",0.55,60.39,0.55,60.65,"Jan"
"193","Federal Bank App",0.48,99.96,0.48,99.96,"Dec"
"194","Federal Bank App",0.47,91.94,0.47,91.94,"Nov"
"195","Federal Bank App",0.44,90.5,0.44,90.5,"Oct"
"196","Federal Bank App",0.39,79.44,0.39,79.44,"Sep"
"197","Federal Bank App",0.35,74.71,0.35,74.71,"Aug"
"198","Federal Bank App",0.28,68.82,0.28,68.82,"Jul"
"199","Federal Bank App",0.21,49.99,0.21,49.99,"Jun"
"200","Federal Bank App",0.17,38.99,0.17,38.99,"May"
"201","Federal Bank App",0.19,39.57,0.19,39.57,"Apr"
"202","Federal Bank App",0.2,38.85,0.2,38.85,"Mar"
"203","Federal Bank App",0.16,30.55,0.16,30.55,"Feb"
"204","Federal Bank App",0.15,26.09,0.15,26.09,"Jan"
"205","Fino Payments bank App",0.03,2.09,0.03,2.09,"Dec"
"206","Fino Payments bank App",0.02,1.81,0.02,1.81,"Nov"
"207","Fino Payments bank App",0.02,1.75,0.02,1.75,"Oct"
"208","Fino Payments bank App",0.02,1.63,0.02,1.63,"Sep"
"209","Fino Payments bank App",0.02,1.38,0.02,1.38,"Aug"
"210","Fino Payments bank App",0.01,1.13,0.01,1.13,"Jul"
"211","Fino Payments bank App",0.01,1.09,0.01,1.09,"Jun"
"212","Fino Payments bank App",0.01,1.23,0.01,1.23,"May"
"213","Fino Payments bank App",0.01,1.18,0.01,1.18,"Apr"
"214","Fino Payments bank App",0.01,1.28,0.01,1.28,"Mar"
"215","Fino Payments bank App",0.01,1.14,0.01,1.14,"Feb"
"216","Fino Payments bank App",0.01,1.08,0.01,1.08,"Jan"
"217","Google Pay",1587.43,302989.79,1587.43,302989.79,"Dec"
"218","Google Pay",1447.84,283357.99,1447.84,283357.99,"Nov"
"219","Google Pay",1451.93,287491.46,1451.93,287491.46,"Oct"
"220","Google Pay",1294.56,250393.65,1294.56,250393.65,"Sep"
"221","Google Pay",1243.75,244453.05,1243.75,244453.05,"Aug"
"222","Google Pay",1119.16,230847.54,1119.16,230847.54,"Jul"
"223","Google Pay",972.26,207287.73,972.26,207287.73,"Jun"
"224","Google Pay",880.59,187136.95,880.59,187136.95,"May"
"225","Google Pay",905.96,190106.71,905.96,190106.71,"Apr"
"226","Google Pay",957.01,201185.14,957.01,201185.14,"Mar"
"227","Google Pay",827.86,174455.33,827.86,174455.33,"Feb"
"228","Google Pay",853.53,177791.47,853.53,177791.47,"Jan"
"229","HDFC Bank Apps",4.96,1250.74,4.96,1250.74,"Dec"
"230","HDFC Bank Apps",3.87,1030.59,3.87,1030.59,"Nov"
"231","HDFC Bank Apps",5.02,1082.99,5.02,1082.99,"Oct"
"232","HDFC Bank Apps",3.14,772.08,3.14,772.08,"Sep"
"233","HDFC Bank Apps",3.1,676.72,3.1,676.72,"Aug"
"234","HDFC Bank Apps",3,588.25,3,588.25,"Jul"
"235","HDFC Bank Apps",2.07,408.61,2.07,408.61,"Jun"
"236","HDFC Bank Apps",1.56,274.77,1.56,274.77,"May"
"237","HDFC Bank Apps",1.42,243.86,1.42,243.86,"Apr"
"238","HDFC Bank Apps",1.59,244.17,1.59,244.17,"Mar"
"239","HDFC Bank Apps",1.13,208.06,1.13,208.06,"Feb"
"240","HDFC Bank Apps",1.52,244.03,1.52,244.03,"Jan"
"241","HSBC Bank App",0.09,53.64,0.09,53.73,"Dec"
"242","HSBC Bank App",0.08,46.94,0.08,46.98,"Nov"
"243","HSBC Bank App",0.08,53.35,0.08,53.39,"Oct"
"244","HSBC Bank App",0.08,42.97,0.08,43.02,"Sep"
"245","HSBC Bank App",0.07,39.19,0.07,39.24,"Aug"
"246","HSBC Bank App",0.06,40.49,0.06,40.52,"Jul"
"247","HSBC Bank App",0.07,35.56,0.07,35.57,"Jun"
"248","HSBC Bank App",0.06,35.67,0.06,35.68,"May"
"249","HSBC Bank App",0.07,40.02,0.07,40.03,"Apr"
"250","HSBC Bank App",0.08,45.88,0.08,45.89,"Mar"
"251","HSBC Bank App",0.05,37.34,0.05,37.36,"Feb"
"252","HSBC Bank App",0.06,41.58,0.06,41.59,"Jan"
